name,val_loss,val_accuracy,loss,accuracy,runtime,build_fn_params.hidden_activation,build_fn_params.loss,build_fn_params.optimizer,build_fn_params.output_activation,dataset_params.batch_size,dataset_params.color_mode,dataset_params.crop_to_aspect_ratio,dataset_params.image_size.0,dataset_params.image_size.1,dataset_params.interpolation,dataset_params.label_mode,early_stopping_params.patience,fit_params.epochs,lr
commend_take,0.4585231840610504,0.7924107313156128,0.2827904522418976,0.8948546051979065,2023-10-27 18:35:12,selu,binary_crossentropy,adam,sigmoid,32,rgb,False,128,128,bilinear,binary,50,10000000000,0.001
spilt_maritime,0.45923519134521484,0.7767857313156128,0.35396134853363037,0.8473154306411743,2023-10-29 01:56:08,swish,binary_crossentropy,adam,sigmoid,32,rgb,False,128,128,bilinear,binary,50,10000000000,0.001
jackpot_calculus,0.461115300655365,0.7857142686843872,0.33020851016044617,0.8691275119781494,2023-10-27 15:35:34,relu,binary_crossentropy,adam,sigmoid,32,grayscale,False,128,128,bilinear,binary,50,10000000000,0.001
italics_granny,0.4626360535621643,0.7745535969734192,0.40629616379737854,0.8204697966575623,2023-10-29 11:44:17,swish,binary_crossentropy,adam,sigmoid,128,grayscale,False,128,128,bilinear,binary,50,10000000000,0.001
runt_famine,0.46277040243148804,0.8102678656578064,0.23133662343025208,0.9127516746520996,2023-10-29 11:06:16,selu,binary_crossentropy,adam,sigmoid,128,grayscale,False,64,64,bilinear,binary,50,10000000000,0.001
raft_flinch,0.4641583263874054,0.8035714030265808,0.2981792986392975,0.9043624401092529,2023-10-30 04:59:35,selu,binary_crossentropy,adam,sigmoid,64,grayscale,False,256,256,bilinear,binary,50,10000000000,
unhealthy_serving,0.46602779626846313,0.8147321343421936,0.18683691322803497,0.93232661485672,2023-10-30 09:29:45,selu,binary_crossentropy,adam,sigmoid,128,grayscale,False,64,64,bilinear,binary,50,10000000000,
moonwalk_pry,0.46909433603286743,0.7790178656578064,0.21708045899868011,0.9468680024147034,2023-10-29 17:14:33,selu,binary_crossentropy,adam,sigmoid,128,rgb,False,256,256,bilinear,binary,50,10000000000,0.001
babbling_xbox,0.4734653830528259,0.7879464030265808,0.34033122658729553,0.886465311050415,2023-10-29 01:11:47,relu,binary_crossentropy,adam,sigmoid,32,rgb,False,64,64,bilinear,binary,50,10000000000,0.001
plywood_boxy,0.47858721017837524,0.7991071343421936,0.1305401772260666,0.9737136363983154,2023-10-27 20:10:27,selu,binary_crossentropy,adam,sigmoid,32,rgb,False,256,256,bilinear,binary,50,10000000000,0.001
